"term","contrast","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
"age_cat","35-54 - 18-34",478.172344718866,749.809425180635,0.637725172104459,0.523652596617038,0.933318083418504,-991.427123903858,1947.77181334159
"age_cat","55-64 - 18-34",582.370172470943,797.976855914606,0.729808349896884,0.465507339845458,1.10312417935859,-981.635725618193,2146.37607056008
"age_cat","65-74 - 18-34",1994.28692073804,885.15455449643,2.25303808313182,0.0242567478537783,5.36547005109433,259.415873173437,3729.15796830263
"age_cat","75+ - 18-34",1726.96903760112,942.545190596696,1.83224003987314,0.0669156659073102,3.90151218397587,-120.385589769841,3574.32366497209
"cancer_ever","1 - 0",5785.27025334296,832.360065089626,6.95044187724217,3.64143806652986e-12,37.9986288306058,4153.87450359787,7416.66600308804
"education","College+ - Less than HS",-929.139236782153,1481.97539478719,-0.626959961717569,0.530685480611204,0.914071017283045,-3833.75763653956,1975.47916297526
"education","HS - Less than HS",-2521.58682683504,1460.98977875778,-1.72594419447551,0.0843574528862834,3.56734065514341,-5385.07417498142,341.900521311344
"education","Some college - Less than HS",-2110.02741466219,1440.33873293799,-1.4649522132604,0.14293395590002,2.80657940596081,-4933.0394567587,712.984627434319
"income_pct_fpl","Low Income - High Income",-683.401104187439,724.933327591958,-0.942708906014187,0.345829816717494,1.53186583442071,-2104.24431746045,737.442109085575
"income_pct_fpl","Middle Income - High Income",-1435.43331912363,483.955665905447,-2.96604300817108,0.00301658301887094,8.37286899758515,-2383.9689944124,-486.897643834857
"income_pct_fpl","Near Poor - High Income",4384.05674285784,4518.14291278752,0.970322724951843,0.331885653341618,1.59124182853308,-4471.34064321058,13239.4541289263
"income_pct_fpl","Poor/Negative - High Income",-1112.56937965088,820.768862825792,-1.35552093901377,0.175251641936644,2.51250013394529,-2721.24679042132,496.10803111957
"insurance_status","Medicaid/Public Only - Private",1743.42139231461,1247.50562617531,1.39752587542208,0.162255491133772,2.62366079140927,-701.644705500072,4188.4874901293
"insurance_status","Medicare/Other Public - Private",-1052.06994356915,600.68947659918,-1.75143728091505,0.0798706159659113,3.64619134991626,-2229.39968359576,125.259796457455
"insurance_status","Uninsured - Private",-4522.47874154373,730.563461851233,-6.19039820316753,6.00124141646683e-10,30.6340199814648,-5954.35681519304,-3090.60066789441
"mental_health_cat","Not observed - No SPD",-206.841464407047,512.898842855773,-0.403279257280779,0.686742799415129,0.5421582163464,-1212.10472411663,798.421795302536
"mental_health_cat","SPD - No SPD",3051.68778476633,1073.36854542637,2.84309410571941,0.00446778765264504,7.80622366637803,947.9240935925,5155.45147594016
"n_chronic_conditions_cat","1 - 0",2404.68169633371,501.987579356982,4.79032110598029,1.66514623335254e-06,19.1959196888033,1420.80412010758,3388.55927255983
"n_chronic_conditions_cat","2-3 - 0",7549.78856073151,511.484624392588,14.7605386372997,2.63170559911058e-49,161.378478541281,6547.29711827604,8552.28000318698
"n_chronic_conditions_cat","4+ - 0",18884.673882279,1883.28078349429,10.0275402626049,1.15354449546761e-23,76.1982725284947,15193.5113738539,22575.8363907042
"race_ethnicity","Asian Non-Hispanic - White Non-Hispanic",-1382.10063572243,1615.30228232497,-0.855629717635955,0.392202626775421,1.35032889688106,-4548.03493322473,1783.83366177987
"race_ethnicity","Black Non-Hispanic - White Non-Hispanic",-1963.35613774645,549.140931591078,-3.57532288124623,0.000349795924924723,11.4811988973943,-3039.65258610174,-887.059689391166
"race_ethnicity","Hispanic - White Non-Hispanic",-1869.7169996176,777.816618456158,-2.40380181555993,0.016225566998398,5.9455872960505,-3394.2095583684,-345.224440866798
"race_ethnicity","Other/Multiple Non-Hispanic - White Non-Hispanic",-1125.04472461249,951.002391202093,-1.18300935415146,0.236805440208175,2.07822587003874,-2988.97516058006,738.885711355086
"sex","Female - Male",2147.41952694574,470.358881336496,4.56549161109486,4.98325125595678e-06,17.6144812526609,1225.53305971765,3069.30599417382
