"term","contrast","insurance_status","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high"
"n_chronic_conditions_cat","1 - 0","Private",2428.22385093643,590.743660081003,4.1104526633489,3.94884230066925e-05,14.6282107203598,1270.3875530823,3586.06014879057
"n_chronic_conditions_cat","2-3 - 0","Private",7764.18657100026,713.836653562197,10.8766992171883,1.4885598523957e-27,89.118141330965,6365.09243917376,9163.28070282676
"n_chronic_conditions_cat","4+ - 0","Private",20092.1456176878,3384.85438429796,5.93589659599346,2.92243956718236e-09,28.3501796622585,13457.9529315513,26726.3383038243
"n_chronic_conditions_cat","1 - 0","Medicare/Other Public",2736.83590936616,1183.5064274797,2.3124808161746,0.0207512012971241,5.59066133258083,417.205936034271,5056.46588269804
"n_chronic_conditions_cat","2-3 - 0","Medicare/Other Public",8000.15439903358,1213.36593904578,6.59335666313913,4.29991892695866e-11,34.4368995850573,5622.00085843622,10378.3079396309
"n_chronic_conditions_cat","4+ - 0","Medicare/Other Public",20973.4572682939,2934.39337468502,7.14745931790595,8.83987054212064e-13,40.0410399917027,15222.1519374383,26724.7625991495
"n_chronic_conditions_cat","1 - 0","Medicaid/Public Only",2878.77837844917,1884.31194775675,1.52776103865197,0.126571878989816,2.98197118418439,-814.405174792575,6571.96193169091
"n_chronic_conditions_cat","2-3 - 0","Medicaid/Public Only",8732.17897823151,1607.92622377254,5.43070872850368,5.61306845261314e-08,24.0866351057062,5580.70148983984,11883.6564666232
"n_chronic_conditions_cat","4+ - 0","Medicaid/Public Only",17263.4239257316,2668.09196195473,6.47032567538783,9.77919143985474e-11,33.2514938581269,12034.0597728595,22492.7880786037
"n_chronic_conditions_cat","1 - 0","Uninsured",376.667741646128,829.780061293827,0.453936843286897,0.64987428458105,0.621767432981475,-1249.67129357921,2003.00677687147
"n_chronic_conditions_cat","2-3 - 0","Uninsured",1770.21573301952,1085.94084910166,1.63012169077526,0.103075780226679,3.27822271321607,-358.189220560578,3898.62068659962
"n_chronic_conditions_cat","4+ - 0","Uninsured",11689.2470913603,5437.30221793261,2.14982478862556,0.0315690766271474,4.98534412630208,1032.33057115261,22346.1636115679
