"term","contrast","estimate","std.error","statistic","p.value","conf.low","conf.high"
"age_cat","35-54 - 18-34",518.938887591154,812.508970445993,0.638686964042137,0.523026594797241,-1073.54943159871,2111.42720678102
"age_cat","55-64 - 18-34",632.020092349803,863.84375606199,0.731637044216186,0.464390131552662,-1061.0825578015,2325.12274250111
"age_cat","65-74 - 18-34",2164.30968376861,954.262540399365,2.26804426679353,0.0233265087560555,293.989472790158,4034.62989474706
"age_cat","75+ - 18-34",1874.2016370771,1015.3956786033,1.84578453165677,0.064923497464538,-115.937323042975,3864.34059719717
"cancer_ever","1 - 0",6270.14347680524,902.449235722476,6.94791820814778,3.70715814666297e-12,4501.37547691349,8038.91147669699
"education","College+ - Less than HS",-1019.15981430623,1623.68196573313,-0.627684383897223,0.530210717283046,-4201.51798949035,2163.19836087789
"education","HS - Less than HS",-2765.89327030731,1599.70122447849,-1.72900615939017,0.0838079927109427,-5901.25005630978,369.463515695151
"education","Some college - Less than HS",-2314.4595158372,1577.03319431285,-1.4676035508851,0.142211942913127,-5405.38777911454,776.468747440134
"income_pct_fpl","Low Income - High Income",-751.105222857526,798.321620365479,-0.940855419290364,0.346778956108711,-2315.78684685352,813.576401138471
"income_pct_fpl","Middle Income - High Income",-1577.64079755095,531.814139553071,-2.96652661186628,0.00301184294985465,-2619.97735754413,-535.304237557774
"income_pct_fpl","Near Poor - High Income",4818.38249409841,4971.18580519626,0.969262200793595,0.332414383650004,-4924.96264454301,14561.7276327398
"income_pct_fpl","Poor/Negative - High Income",-1222.79093013864,905.299819908489,-1.35070272107449,0.1767906802913,-2997.14597236987,551.564112092596
"insurance_status","Medicaid/Public Only - Private",1924.64092460692,1381.57516099919,1.39307724902565,0.163596432094372,-783.196632886623,4632.47848210047
"insurance_status","Medicare/Other Public - Private",-1161.42710985887,668.605322312386,-1.73708923800075,0.0823714206613025,-2471.86946146294,149.0152417452
"insurance_status","Uninsured - Private",-4992.5667454866,820.403930447724,-6.08549832612573,1.16129537881759e-09,-6600.52890193924,-3384.60458903395
"mental_health_cat","Not observed - No SPD",-227.23903997272,562.872237499312,-0.403713355951399,0.686423517050777,-1330.44835336885,875.970273423407
"mental_health_cat","SPD - No SPD",3352.62856746219,1178.1437189338,2.84568725664155,0.00443156949998112,1043.50930973986,5661.74782518451
"n_chronic_conditions_cat","1 - 0",2475.17670553897,508.870088627402,4.864064052606,1.14999671026081e-06,1477.80965901956,3472.54375205839
"n_chronic_conditions_cat","2-3 - 0",7771.11615469042,504.513360560608,15.4031919909024,1.55785638081622e-53,6782.28813827236,8759.94417110849
"n_chronic_conditions_cat","4+ - 0",19438.2919603804,1868.12824808648,10.4052235066254,2.34704663228483e-25,15776.827875629,23099.7560451318
"race_ethnicity","Asian Non-Hispanic - White Non-Hispanic",-1534.7900873858,1792.52770895682,-0.856215543958865,0.391878566272121,-5048.07983823127,1978.49966345966
"race_ethnicity","Black Non-Hispanic - White Non-Hispanic",-2180.26058330134,609.328056785193,-3.57813916333406,0.000346049196544488,-3374.52162937009,-985.999537232582
"race_ethnicity","Hispanic - White Non-Hispanic",-2076.27653374883,855.452693914123,-2.42710853390247,0.015219701995466,-3752.93300429828,-399.62006319938
"race_ethnicity","Other/Multiple Non-Hispanic - White Non-Hispanic",-1249.33557410483,1056.7250404234,-1.18227119289636,0.237098112039499,-3320.47859489633,821.807446686668
"sex","Female - Male",2347.58691766442,508.299290932593,4.618513068073,3.86499643078717e-06,1351.33861406929,3343.83522125955
